Ord_id,Prod_id,Ship_id,Cust_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin
4499,6,6264,1474,67.49,0.06,1,-22.82,14.3,0.37
4552,4,6335,1474,284.4525,0.06,5,-254.78,8.99,0.58
4552,12,6335,1474,104.7,0.09,29,42.16,0.5,0.38
4497,13,6261,1474,211.97,0.06,10,-46.83,8.99,0.59
4410,6,6146,1474,1480.91,0,44,489.14,8.74,0.4
4499,13,6265,1474,6.76,0.02,3,-4.28,1.57,0.59
4475,4,6234,1474,7640.225,0.07,46,2027.68,2.5,0.59
4547,6,6328,1474,23.44,0.05,3,-10.58,5.2,0.36
4360,11,6079,1474,1736.41,0.1,12,-762.44,80.2,0.71
4541,2,6322,1474,336.65,0.07,30,-71.05,6.96,0.5
4348,6,6063,1474,330.21,0.07,14,83.24,5.47,0.39
4547,8,6328,1474,28.46,0.02,4,-27.13,3.85,0.68
4607,2,6408,1474,1463.42,0.08,26,350.82,3.99,0.57
4546,2,6327,1474,498.68,0.06,20,79.52,5.37,0.5
5233,3,7310,1749,92.24,0.05,19,-60.58,5.24,0.39
5147,6,7193,1749,199.11,0.01,30,-83.33,6.65,0.36
5215,17,7287,1749,140.59,0.01,7,-35.88,8.51,0.4
5216,13,7289,1749,141.59,0.04,48,20.26,0.7,0.58
5226,6,7300,1749,93.26,0.05,18,-35.36,4.7,0.38
5213,13,7284,1749,1633.37,0.08,50,144.69,7.73,0.59
5226,15,7299,1749,1210.72,0.05,17,-382.43,30,0.78
5188,14,7252,1749,5177.4,0.06,12,287.5,49,0.38
5174,6,7231,1749,292.75,0.08,33,93.33,2.01,0.39
5205,4,7274,1749,2546.5235,0.09,26,210,7.69,0.59
5156,4,7207,1749,8374.132,0.06,48,2568.1,8.99,0.56
5216,3,7288,1749,157.99,0.03,35,-105.55,5.41,0.35
5232,17,7306,1758,21366.51,0,3,-11984.4,24.49,0.39
5232,6,7308,1758,88.57,0.03,12,-28.25,6.15,0.37
5232,6,7309,1758,73.97,0.1,13,-38.35,5.67,0.36
5232,6,7307,1758,320.04,0.02,34,32.47,4.39,0.38
5172,4,7229,1758,1239.4445,0.07,22,165.5,3.99,0.59
5355,1,7481,1802,123.85,0.09,16,-71.44,6.5,0.59
127,13,172,86,54.78,0.02,32,-30.54,1.57,0.59
127,13,173,86,304.83,0.1,47,23.82,2.35,0.47
45,13,59,36,312.36,0.07,11,-19.33,8.99,0.57
5484,16,7663,1820,322.82,0.05,35,-17.58,3.98,0.56
5430,4,7588,1820,337.2035,0.09,9,-120.93,4.99,0.56
5462,4,7632,1820,175.8565,0.03,10,-93.26,1.25,0.83
5489,17,7671,1820,754.92,0,7,-129.57,19.99,0.52
5462,5,7631,1820,323.96,0.07,40,-136.82,7.96,0.49
5481,15,7659,1820,2700.78,0.06,29,-793.36,58.2,0.58
1638,5,5892,1433,755.19,0,41,81.44,8.99,0.47
1638,8,5892,1433,220.79,0,7,-91.51,4,0.74
1638,7,2261,565,201.14,0.08,37,-51.25,3.37,0.54
1557,2,2152,565,1736.53,0.1,46,457.03,3.99,0.56
209,13,285,45,30.51,0.09,11,-17.68,2.4,0.58
246,8,341,45,862.2,0.1,29,-45.1,4,0.75
122,17,165,45,42.31,0.06,2,-53.08,8.51,0.4
121,8,164,45,1143.45,0.06,31,304.42,1.99,0.51
250,15,346,45,8901.78,0.04,31,2795.36,24.49,NA
122,3,166,45,152.67,0.04,11,12.76,4.98,0.4
139,17,186,45,2671.21,0.06,14,636.18,15.59,0.36
239,4,332,45,2157.3085,0,38,519.25,5.31,0.57
250,2,345,45,324.55,0.08,5,-12.82,0.99,0.58
209,1,286,45,127.8,0.07,8,-30.48,7.51,0.57
135,9,182,45,30.83,0.04,2,7.27,1.39,0.36
60,12,81,45,176.26,0.07,44,75.13,0.5,0.39
23,12,31,18,282.07,0.03,39,140.01,0.49,0.38
23,4,31,18,426.037,0.01,24,-78.96,2.5,0.81
5374,8,7504,1800,1222.59,0.02,29,501.99,1.99,0.42
5351,4,7474,1800,1463.0965,0,14,162.67,2.5,0.57
5417,12,7565,1800,128.13,0.09,42,32.53,0.99,0.37
5354,5,7480,1800,152.44,0.08,20,-16.64,3.68,0.52
5423,17,7577,1800,13070.2,0.07,4,-6923.6,8.73,0.57
5351,6,7475,1800,246.3,0.02,38,-67.49,5.79,0.36
2340,5,3210,933,136.61,0.01,8,80.43,3.73,0.46
2432,4,3339,933,3883.4715,0.1,42,707.17,8.99,0.58
2480,3,3397,933,169.61,0.1,29,-211.06,9.92,0.38
2394,13,3284,933,64.36,0.06,37,-1.53,0.7,0.56
2372,10,3256,933,1764.97,0.07,13,-383.5,54.74,0.69
2566,13,3515,933,422.25,0.06,35,-116.02,7.95,0.58
2340,11,3211,933,2907.63,0.04,42,54.6,69,0.68
2480,4,3397,933,1247.9275,0.1,24,186.42,2.5,0.55
2394,3,3284,933,161.8,0.06,44,21.34,1.49,0.38
2511,13,3440,933,250.13,0.01,40,61.97,1.2,0.55
2432,3,3338,933,15337.58,0.1,30,6670.41,19.99,0.37
2372,6,3257,933,238.34,0.04,50,-7.36,3.01,0.36
2371,11,3255,950,1476.12,0.03,31,-1401.17,46.59,0.67
4153,4,5788,1422,2079.474,0.05,45,-81.57,5,0.8
4155,12,5790,1423,12.01,0,3,-1.08,0.5,0.38
4155,4,5791,1423,2211.734,0.02,15,80.76,4.99,0.59
4155,5,5790,1423,1846.76,0.03,20,3.14,39.61,0.67
1673,5,2313,498,23.93,0.1,3,-6.39,0.96,0.43
1673,17,2314,498,2027.55,0.04,14,537.4,13.99,0.37
1442,7,1993,498,258.13,0.03,41,84.1,1.82,0.35
1637,2,2260,498,693.02,0.07,10,97.36,3.5,0.59
1375,15,1894,498,2703.37,0.09,18,-231.6,57.2,0.59
1317,2,1813,498,186.44,0,45,-157.18,5.13,0.59
1649,4,2278,498,2209.5155,0.06,41,458.62,5.31,0.57
1375,1,1895,498,1538.17,0.02,39,-1119.64,35,0.8
1649,2,2277,498,3005.74,0.02,48,1053.21,3.99,0.57
1407,15,1940,498,489.07,0.08,5,-197.88,42,0.66
1635,1,2256,498,857.84,0.02,39,-309.43,11.52,0.83
1520,6,2099,498,30.47,0.02,4,-10.7,5.15,0.36
1635,6,2256,498,1072.36,0.04,36,440.48,4.86,0.38
1503,8,2078,498,731.71,0,24,175.82,1.99,0.5
1637,13,2259,498,64.34,0.09,11,-8.37,2.27,0.56
1503,8,2077,498,378.08,0,17,70.48,1.99,0.43
1395,13,1926,515,138.96,0.03,49,19.87,0.7,0.56
1517,13,2095,515,136.49,0.1,15,36.23,1.09,0.43
1481,6,2044,515,393.31,0.04,20,84.3,5.86,0.38
1519,10,2098,515,2701.69,0.05,33,-926.33,55.81,0.6
1395,3,1926,515,158.97,0.08,39,-30.27,2.99,0.37
1348,13,1854,515,68.97,0.02,24,0.77,0.97,0.59
1348,6,1853,515,199.8,0.08,31,-96.59,6.81,0.36
4646,15,6475,1603,4083.19,0.07,43,-1049.85,45,0.69
4646,1,6476,1603,4902.38,0.05,32,1438.49,7.07,0.59
4702,3,6560,1603,11823.52,0.1,34,4592.74,19.99,0.4
4646,15,6474,1603,1239.06,0,4,-193.08,48.8,0.56
4702,3,6560,1603,80.81,0.1,19,-67.46,5.41,0.35
2973,4,4102,1081,4671.1495,0.07,28,947.31,4.2,0.59
3009,15,4168,1081,5718.85,0.09,49,-2426.55,70.2,0.74
2973,4,4102,1480,6264.1855,0.01,34,1312.04,19.99,0.6
2973,9,6073,1480,5410.95,0.09,36,2077.91,19.99,0.39
4572,6,6360,1480,377.83,0.06,41,122.06,2.15,0.4
1995,6,2724,702,240.14,0.06,36,57.78,2,0.39
1915,6,2623,702,980.95,0.02,41,234.68,8.18,0.39
2273,5,3101,1104,180.43,0.02,8,-44.86,11.17,0.6
2273,8,3101,878,2899.98,0.1,19,666.01,5.5,0.49
2273,6,3102,878,233.38,0.1,36,-180.17,8.73,0.37
2246,2,3054,878,294.52,0.09,14,15.34,5.94,0.5
2273,4,3100,878,1077.8085,0.06,20,17.25,8.99,0.56
5153,13,7201,1753,176.5,0.01,46,-119.35,4.17,0.59
5153,1,7201,1753,1546.8,0.07,42,25.51,12.9,0.57
5239,13,7318,1753,452.28,0.09,48,-21,4.82,0.47
5157,15,7208,1753,5149.06,0.03,27,605.44,30,0.69
5230,4,7304,1753,2197.4115,0,20,305.96,7.69,0.58
5153,11,7202,1753,3457.56,0.02,35,-365.44,51.94,0.63
5159,5,7210,1753,2213.92,0.03,20,768.34,13.99,0.65
5230,1,7304,1753,423.04,0.05,2,-270.7,9.99,0.6
5239,13,7318,1753,55.82,0.01,18,14.19,0.81,0.4
2831,3,3893,1036,18092.66,0.09,36,7917.76,19.99,0.37
2791,12,3837,1036,68.54,0.1,25,22.2,0.5,0.39
2791,11,3838,1036,10351.01,0.08,19,-1331.55,45.7,0.71
2739,5,3758,1036,363.92,0,44,-144.56,7.96,0.49
2585,11,3540,997,7287.55,0.04,24,-715.78,54.12,0.76
2653,6,3630,997,306.3,0.07,34,18.73,4.39,0.38
2691,5,3685,997,311.19,0.03,33,-9.18,4.93,0.57
2753,15,3779,997,2549.58,0.02,10,41.53,62.94,0.57
2753,3,3778,997,23106.46,0.08,28,9527.47,19.99,0.38
2653,13,3630,997,163.98,0.01,42,55.73,0.7,0.44
2799,15,3850,997,11002.66,0.07,46,2349.29,43.32,0.55
2725,9,3735,997,806.08,0.08,31,402.37,1.39,0.38
2725,2,3734,997,9081.98,0.02,39,2485.54,19.99,0.59
2725,1,3736,997,70.02,0,4,-30.63,8.78,0.57
4675,12,6519,1618,92.94,0.09,20,37.77,0.5,0.36
4784,5,6668,1618,952.21,0.05,50,403.83,3.62,0.43
4675,11,6520,1618,6070.96,0.01,19,173.48,54.12,0.76
4730,1,6598,1618,8230.77,0.05,50,1577.02,19.99,0.66
2987,8,4127,1101,990.73,0.02,30,56.39,4,0.75
3729,13,5174,1595,493.43,0.07,26,120.18,4.1,0.44
3733,9,5847,1427,142.12,0.01,13,54.91,1.39,0.39
4204,4,5861,1427,277.0745,0.03,41,-128.44,5.03,0.6
4217,11,5884,1427,7413.29,0.01,49,1148.23,16.01,0.7
4217,6,5883,1427,60.02,0.1,16,0.94,1.93,0.35
4217,3,5882,1427,315.45,0.01,40,-305.88,11.51,0.36
3730,16,5175,1314,459.08,0.04,34,61.57,3.14,0.6
3733,4,5178,1314,553.3415,0.08,33,-67.71,0.99,0.83
3731,13,5176,1314,193.7,0.06,20,-14.99,4.82,0.47
3729,6,5173,1313,354.96,0.07,43,151.27,1.43,0.35
3729,6,5174,1313,130.97,0.09,26,-83.42,6.07,0.36
4386,5,6115,1468,27.32,0.05,6,-5.87,5.33,0.43
4386,1,6116,1468,643.31,0.08,43,-231.34,10.68,0.58
4342,13,6056,1468,1348.57,0.08,47,19.57,8.99,0.58
4342,1,6054,1468,1225.52,0.1,36,-1191.13,35,0.85
4432,4,6177,1468,7312.0315,0.06,50,2031.51,8.99,0.57
4342,8,6055,1468,1024.29,0.07,10,-95.52,19.99,0.52
4451,6,6200,1527,123.15,0.05,23,22.98,2.04,0.36
628,4,860,220,477.5045,0.09,17,-245.56,5,0.85
639,4,872,209,763.6485,0.06,8,-277.78,5.26,0.57
597,2,815,209,1449.3,0.08,24,-712.14,49,0.59
671,3,918,209,125.54,0.03,14,-15.74,6.16,0.35
657,4,899,209,2343.076,0.06,24,311.64,8.99,0.58
678,6,928,209,118.36,0.08,17,-60.65,7.37,0.37
657,8,898,209,784.72,0.01,43,-87.96,4,0.79
645,5,882,209,919,0,50,89.6,8.99,0.47
657,15,897,209,1865.94,0.04,11,116.1,30,0.62
636,6,869,209,201.37,0.1,30,59.84,1.6,0.38
630,8,862,209,1500.17,0.06,40,423.87,1.99,0.51
597,4,816,209,4283.235,0.1,44,676.13,8.8,0.59
630,6,863,209,377.31,0.02,45,87.96,2.87,0.4
597,4,816,209,4374.6865,0.05,43,973.16,8.08,0.57
1846,7,2540,648,161.28,0.01,46,56.73,0.76,0.39
2008,17,2744,723,5549.79,0.09,47,1300.8,17.85,0.56
1846,1,2666,723,250.75,0.02,13,-43.52,9.47,0.59
2062,4,2818,723,821.7885,0.06,18,-230.34,5,0.8
1846,6,2540,723,1356.45,0.02,37,47.65,19.99,0.38
1955,6,2676,723,164.22,0.1,28,-124.72,7.5,0.4
1846,8,2667,723,313.05,0.02,31,81.87,1.99,0.43
1986,8,2714,723,815.89,0.1,43,-20.25,4,0.68
1955,6,2676,1090,135.91,0.07,25,37.5,1.21,0.4
1986,3,3045,856,30.61,0.09,11,-3.38,1.49,0.36
2255,8,3070,856,452.93,0.09,43,-172.34,6.5,0.64
1846,6,2666,856,200.7,0.02,29,-147.72,9.17,0.37
2225,10,3025,856,9459.94,0.04,31,2023.75,54.92,0.55
2255,6,3069,856,311.1,0.04,45,86.6,2,0.39
2062,4,3182,856,5634.3525,0.03,34,1185.41,8.08,0.59
5161,12,7212,1752,228.46,0.01,47,112.06,0.5,0.36
5161,6,7213,1752,77.61,0.09,19,16.79,1.3,0.37
5203,13,7269,1752,95.26,0.02,26,-89.06,5,0.56
5170,11,7227,1752,1358.776,0.01,3,-163.2,45.7,0.71
5175,17,7232,1752,1191.73,0.07,13,147.6,13.99,0.38
5165,12,7218,1752,95.71,0.04,38,32.81,0.5,0.39
5245,8,7325,1752,99.94,0.07,46,-55.84,1.99,0.55
5245,13,7326,1752,18.7,0.07,11,-3.36,0.7,0.56
5151,13,7199,1752,122.23,0.03,29,24.55,1.2,0.44
5223,4,7296,1752,4524.907,0.07,47,1464.87,2.5,0.55
5337,10,7451,1770,3301.33,0.05,23,-307.46,36.09,0.77
5278,6,7367,1770,172.33,0.04,26,-52.21,5.74,0.37
5316,2,7425,1770,412.37,0.06,46,2.71,3.5,0.58
5248,6,7329,1770,53.46,0.02,7,-17.58,5.9,0.37
5278,3,7367,1770,852.75,0.08,29,358.73,1.49,0.37
5284,4,7377,1770,5638.798,0.09,33,1406.05,3,0.58
5337,12,7452,1770,126.95,0.06,28,45.87,0.99,0.39
5251,6,7332,1770,881.65,0.08,50,41.27,9.03,0.37
5269,4,7356,1770,1281.358,0.09,14,-90.12,5.99,0.57
5284,12,7376,1770,203.49,0.05,34,90.35,0.5,0.39
4825,17,6723,1652,2013.8,0.01,16,-98.43,56.14,0.39
4770,1,6654,1652,1128.03,0.01,25,256.3,6.22,NA
4825,3,6722,1652,320.57,0.1,46,-114.2,6.05,0.39
4770,8,6653,1652,1734.4,0.02,49,749.16,1.99,0.43
4143,6,5770,1417,901.32,0.1,25,338.01,5.08,0.38
4143,16,5771,1417,207.21,0.06,24,-78.64,6.14,0.59
4538,8,6317,1552,105.13,0.08,4,-103.23,4,0.75
1528,13,2113,506,964.09,0.02,44,105.37,5.53,0.59
1445,3,1996,506,18.7,0.1,3,-14.69,5.83,0.36
1327,6,1827,506,391.42,0.04,38,25.03,5.12,0.4
1607,4,2220,506,2980.372,0.02,19,494.63,8.99,0.57
1528,13,2112,506,36.65,0.03,6,0.43,0.91,0.51
1607,3,2220,506,50.42,0.06,10,7.25,1.49,0.36
1445,13,1996,506,140.74,0.01,39,-92.29,3.97,0.56
69,1,93,53,5188.86,0.1,48,395.12,8.64,0.78
297,17,399,53,171.71,0.06,1,-343.47,56.14,0.4
288,12,389,53,47.44,0.09,17,14.49,0.5,0.38
272,4,371,53,680.8585,0.05,39,319.1,0.99,0.37
266,5,364,53,30.68,0.02,15,-37.39,4.08,0.53
12,9,15,11,248.26,0.07,16,93.8,1.39,0.4
5171,8,7228,1756,372.09,0.04,16,98.28,1.99,0.43
5167,2,7221,1756,212.91,0,3,-65.15,3.5,0.59
5177,2,7234,1756,321.02,0.1,37,-11.88,3.5,0.58
5167,6,7222,1756,1275.61,0.08,35,517.33,5.08,0.38
5212,5,7283,1756,447.12,0.08,43,-14.27,5.16,0.57
5180,9,7237,1756,862.64,0.04,23,122.11,14.72,0.4
5167,17,7223,1756,5972.59,0.06,3,-4852.53,14.7,0.55
5209,11,7279,1767,1457.712,0.03,24,-1565.89,89.3,0.69
4830,6,6731,1659,158.91,0.06,24,-38.57,5.2,0.37
4796,16,6686,1659,95.09,0.09,9,-13.53,3.37,0.57
4796,13,6687,1659,150.06,0.02,49,30.97,0.7,0.56
4796,6,6686,1659,122.09,0.04,6,-15.2,9.54,0.37
1965,3,2689,669,267,0.09,19,-2.83,7.17,0.38
1881,1,2582,669,381.6,0.1,2,-319.02,19.99,0.71
1922,4,2634,669,60.5625,0.02,2,-165.54,1.1,0.55
1854,6,2548,622,817.53,0.03,34,76.63,11.54,0.39
1814,13,2507,622,81.9,0.01,27,4.06,0.96,0.58
1854,16,2548,727,182.47,0.05,17,-3.18,3.37,0.57
2967,12,4090,560,132.12,0.07,37,54.78,0.5,0.37
1521,15,2100,560,2230.97,0.06,12,273.27,26.2,0.59
1521,5,2101,560,200.77,0.01,25,-60.61,7.98,0.42
2959,11,4080,1076,907.24,0.07,6,-634.73,69,0.68
3000,2,4152,564,353.02,0,7,72.55,5.1,0.46
2957,13,4078,564,65.12,0.07,38,1.42,1,0.35
1535,1,2124,564,1326.69,0,37,185.37,8.74,0.61
1544,3,2135,564,60.92,0.07,33,-17.2,1.49,0.37
2991,13,4136,564,193.25,0.03,19,71.55,1.09,0.43
2957,6,4078,564,205.87,0.03,35,65.88,1.46,0.39
1854,17,2548,564,25.96,0.06,2,-29.29,6.24,0.36
1535,2,2123,564,3638.27,0.04,45,1123.79,4.5,0.59
2946,6,4065,564,51.27,0.06,7,3.27,2.17,0.38
1544,5,2136,564,387.17,0.01,8,190.6,4.8,0.68
4506,16,6273,1544,92.02,0.07,9,-24.88,4.68,0.59
1814,9,2507,1550,495.5,0.06,44,-12.67,6.97,0.35
4083,13,5692,1393,557.52,0.03,47,-157.3,7.95,0.58
4058,4,5658,1393,642.9145,0.01,11,-118.8,8.99,0.6
4046,13,5638,1393,24.76,0.09,9,-1.82,0.7,0.56
4072,6,5678,1393,325.8,0.03,45,-84.85,6.18,0.39
4018,8,5592,1385,187.37,0.09,6,-125.96,5.5,0.75
4050,4,5644,1385,3644.596,0.06,44,1104.32,4.9,0.56
4039,9,5626,1385,112.42,0.09,20,7.4,2.5,0.36
4066,8,5671,1385,963.45,0.05,22,94.03,4,0.64
4062,5,5665,1385,2504.41,0.01,30,-547.89,48.2,0.74
4019,9,5593,1385,356.09,0.05,23,155.82,1.39,0.38
4094,6,5706,1385,979.44,0.01,46,320.67,5.86,0.38
4066,4,5672,1385,4390.029,0,25,1007.49,5.26,0.56
4096,1,5708,1388,7922.69,0.1,21,1558.79,19.99,0.58
4078,6,5685,1388,241.92,0.1,26,67.71,2.27,0.36
4080,7,5687,1388,10.62,0.07,3,-3.96,1.35,0.4
4080,1,5689,1388,351.3,0.06,10,1.45,8.22,0.57
4023,5,5598,1388,486.43,0,15,285.35,3.92,0.44
4068,8,5674,1388,1692.28,0.1,46,61,4,0.7
4023,6,5599,1388,144.95,0.08,7,10.82,5.86,0.38
4080,16,5688,1388,666.4,0,39,2.02,7.42,0.56
4896,4,6829,1674,2827.1425,0.01,35,713.88,4.9,0.56
4898,13,6832,1674,66.55,0.01,40,-15.13,1.29,0.42
4840,3,6748,1674,278.68,0.06,20,8.9,6.46,0.38
4840,4,6749,1674,717.468,0.01,23,316.48,0.99,0.35
4871,2,6798,1674,101.47,0.03,9,-18.64,4.5,0.59
4898,3,6832,1674,3982.21,0.03,23,1413.94,19.99,0.4
4947,6,6903,1674,33.44,0.1,4,-6.88,2.87,0.4
302,13,406,114,667.55,0,28,204.74,2.87,0.55
47,1,61,37,436.17,0.08,40,-141.27,7.46,0.59
335,12,448,127,83.81,0.09,7,21.92,0.5,0.38
335,13,449,127,218.81,0.03,36,7.45,2.27,0.56
5422,5,7574,1810,1823.02,0.04,19,80.8,39.61,0.67
5373,3,7503,1810,3633.03,0.09,33,1440.27,9.07,0.35
5433,13,7592,1810,209.63,0.01,35,43.53,1.2,0.55
5422,13,7575,1810,74.02,0.04,26,8.13,0.7,0.56
5494,10,7679,1810,2453.3,0.05,24,-111.4,35.84,0.62
5410,11,7554,1810,6785.86,0.05,27,-740.07,62.74,0.75
5473,10,7646,1810,4878.64,0.03,31,-519.94,66.27,0.65
5422,4,7576,1810,2252.976,0.02,13,-54.36,8.99,0.58
5494,6,7680,1810,147.02,0.02,29,-77.03,5.49,0.38
5442,6,7604,1810,313.52,0.05,48,-254.68,9.17,0.37
5468,13,7640,1822,57.96,0.06,17,-47.32,3.97,0.56
1675,6,2317,575,1662.33,0.02,32,783.84,5.81,0.38
1675,8,2316,575,254.46,0.09,32,23.5,1.99,0.49
1675,5,2316,575,278.19,0.02,32,149.39,0.96,0.43
4076,3,5682,1384,1484.49,0.09,23,230.5,19.99,0.4
4017,4,5591,1384,1703.8505,0,28,316.06,8.99,0.58
4076,1,5683,1384,740.49,0.1,18,88.9,6.22,NA
4035,12,5619,1384,101.2,0.1,37,38.58,0.5,0.36
4087,12,5698,1384,173.22,0.04,35,84.03,0.5,0.36
4017,4,5591,1384,303.1865,0.02,17,92.59,0.99,0.37
4043,17,5633,1384,6991.65,0.08,19,906.8,12.06,0.56
1984,6,2712,747,692.73,0.01,16,94.97,17.48,0.36
1541,8,2132,547,414.42,0.04,48,-380.2,8.99,0.79
1437,6,1988,547,145.93,0,27,-113.32,7.44,0.36
2252,3,3064,881,3.42,0.05,1,-2.91,1.49,0.37
3707,17,5136,1307,28359.4,0.05,49,14440.39,24.49,0.37
3707,6,5137,1307,123.76,0.04,12,32.44,2.27,0.36
3713,1,5145,1307,27.83,0.09,2,-22.14,9.45,0.6
1437,8,5152,1307,312.03,0.08,11,-66.66,5.5,0.51
1437,15,5151,1307,6435.87,0.04,21,935.06,64.73,0.56
3707,8,5135,1307,522.49,0.08,12,-236.43,16.71,0.66
5493,10,7678,1825,1851.62,0.09,19,-220.84,35.84,0.62
5493,3,7677,1825,561.66,0.07,26,-111.33,15.1,0.38
1551,16,2145,531,184.77,0,29,-71.96,5.3,0.55
1377,13,1897,531,37.3,0,7,5.03,0.71,0.52
4144,2,5772,1418,2182.91,0.1,40,549.45,3.5,0.57
4144,1,5773,1418,1144.35,0.05,14,-448.6,35,0.83
4144,11,5774,1418,1496.83,0.07,8,-329.72,56.2,0.71
4187,6,5837,1418,135.02,0.02,20,-60.69,6.74,0.37
4168,9,5807,1418,669.01,0.08,44,299.35,1.39,0.4
4168,5,5808,1418,301.6,0.01,30,-24.93,6.22,0.55
1670,4,2308,566,2077.1875,0.05,12,-38.07,4.2,0.59
1670,3,2307,566,362.71,0.07,48,-88.95,6.16,0.35
1579,1,2179,566,1221.62,0.01,18,-468.64,35,0.8
1621,3,2238,566,2010.89,0.09,34,564.07,11.55,0.38
1579,16,2178,566,139.37,0.04,16,1.72,2.64,0.59
1579,6,2177,566,23.38,0.08,3,-12.19,5.14,0.37
614,3,838,217,3800.4,0.03,9,1234.57,19.99,0.35
647,15,884,217,6276.83,0.09,23,813.49,48.8,0.56
632,10,865,217,5572.92,0.07,41,-639.47,36.09,0.77
1997,15,2728,753,4547.9,0.01,45,-768.14,58.2,0.58
2049,12,2800,701,110.96,0.08,46,35.92,0.5,0.39
1939,8,2656,701,901.81,0.02,18,-76.89,19.99,0.41
1914,17,2622,701,794.58,0.09,1,-1748.34,55.3,0.4
1919,12,2631,701,45.63,0.02,12,15.42,0.5,0.38
1325,6,1824,504,259.72,0.07,27,78.05,2.06,0.39
1325,13,1825,504,54.69,0.07,34,-35.75,1.57,0.59
2202,6,3001,834,345.69,0.02,22,143.23,1.97,0.39
153,8,205,80,261.88,0.08,7,-59.2,1.99,0.54
116,4,159,80,5247.4835,0,49,1465.87,8.08,0.57
153,6,206,80,593.73,0.04,15,108.01,13.26,0.36
